Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,log_return
2016-08-15 00:00:00-04:00,186.45341923045174,186.97302588150868,186.44490577630455,186.623779296875,49813500,0.0,0.0,0.0,
2016-08-16 00:00:00-04:00,186.20638433318723,186.2745179562473,185.66122436523438,185.66122436523438,53213600,0.0,0.0,0.0,-0.005171076283314591
2016-08-17 00:00:00-04:00,185.6953007652244,186.14676077773237,184.86052736442625,186.01046752929688,75134300,0.0,0.0,0.0,0.0018793105553491785
2016-08-18 00:00:00-04:00,185.98487945182433,186.46189273466416,185.87415258107467,186.42782592773438,52989300,0.0,0.0,0.0,0.0022412226694816795
2016-08-19 00:00:00-04:00,185.95936001723447,186.3341599500134,185.47383319350868,186.1552734375,75443000,0.0,0.0,0.0,-0.001463042952378757
2016-08-22 00:00:00-04:00,185.91675056339253,186.3767369854356,185.55047711402338,186.14674377441406,61368800,0.0,0.0,0.0,-4.582120264196021e-05
2016-08-23 00:00:00-04:00,186.76000624163,187.05814600024888,186.46186648301116,186.52149963378906,53399200,0.0,0.0,0.0,0.002011204294038116
2016-08-24 00:00:00-04:00,186.3767401227276,186.4704400993404,185.15012697348288,185.56752014160156,71728900,0.0,0.0,0.0,-0.005127706176551783
2016-08-25 00:00:00-04:00,185.18419646592582,185.85713621615523,185.03087631886928,185.4397430419922,69224800,0.0,0.0,0.0,-0.0006888118769694529
2016-08-26 00:00:00-04:00,185.627100488644,186.64927356118932,184.20457423805945,185.0904541015625,122506300,0.0,0.0,0.0,-0.0018853472488107315
2016-08-29 00:00:00-04:00,185.21828644695944,186.26601316896983,185.18420663620492,186.001953125,70502200,0.0,0.0,0.0,0.004912527655006826
2016-08-30 00:00:00-04:00,185.91674874049886,186.1978486628494,185.14160858841032,185.69528198242188,58114500,0.0,0.0,0.0,-0.001650112958602179
2016-08-31 00:00:00-04:00,185.3631039833095,185.48235733264187,184.39203728227727,185.1671905517578,85269500,0.0,0.0,0.0,-0.0028479117015196564
2016-09-01 00:00:00-04:00,185.15861927743916,185.46527252972356,184.0171927819061,185.1756591796875,97844200,0.0,0.0,0.0,4.573398912555149e-05
2016-09-02 00:00:00-04:00,186.0275074347612,186.43637418242812,185.43975417381776,186.01046752929688,79293900,0.0,0.0,0.0,0.0044980655098223465
2016-09-06 00:00:00-04:00,186.29151670298387,186.64927663438348,185.57599684018467,186.57261657714844,56702100,0.0,0.0,0.0,0.003017579156965766
2016-09-07 00:00:00-04:00,186.4108420848466,186.73453533739107,185.95086856596222,186.55564880371094,76554900,0.0,0.0,0.0,-9.094874349369064e-05
2016-09-08 00:00:00-04:00,186.22338441350036,186.49597085702842,185.8230311980916,186.1296844482422,74102900,0.0,0.0,0.0,-0.002285920603525504
2016-09-09 00:00:00-04:00,184.81789031099626,184.86899701764105,181.64914452265418,181.67469787597656,221589100,0.0,0.0,0.0,-0.024225945469303234
2016-09-12 00:00:00-04:00,180.91659072552463,184.68160321216067,180.84844411519546,184.28125,168110900,0.0,0.0,0.0,0.014245409691195476
2016-09-13 00:00:00-04:00,183.0035456328748,183.26760564649985,181.010305854894,181.6321258544922,182828800,0.0,0.0,0.0,-0.014479768194249232
2016-09-14 00:00:00-04:00,181.68326396938673,182.88432391408446,181.0103371408601,181.5640106201172,134185500,0.0,0.0,0.0,-0.00037508788410978156
2016-09-15 00:00:00-04:00,181.40214184170566,183.76165500904514,181.22325535365334,183.3783416748047,134427900,0.0,0.0,0.0,0.009943192350172936
2016-09-16 00:00:00-04:00,182.76365265916039,182.9434427794408,181.98459697339692,182.6694793701172,155236400,1.082,0.0,0.0,-0.00387306329964332
2016-09-19 00:00:00-04:00,183.32012466255208,183.9622116674637,182.37839183003095,182.70372009277344,80250500,0.0,0.0,0.0,0.00018742875945321202
2016-09-20 00:00:00-04:00,183.55988582869148,183.7139804812361,182.67808714811602,182.7123260498047,69665300,0.0,0.0,0.0,4.710223934445423e-05
2016-09-21 00:00:00-04:00,183.41427258495116,184.9467142769323,182.72937726175448,184.76693725585938,110284400,0.0,0.0,0.0,0.011182305076221866
2016-09-22 00:00:00-04:00,185.77719504411826,186.23093553533752,185.52892712117182,185.93128967285156,76678700,0.0,0.0,0.0,0.006281962855404721
2016-09-23 00:00:00-04:00,185.537451837607,185.67443352635397,184.81831756662461,184.91249084472656,73630900,0.0,0.0,0.0,-0.005494504396401645
2016-09-26 00:00:00-04:00,184.08207611232544,184.2618531667787,183.21739054421255,183.414306640625,89827300,0.0,0.0,0.0,-0.008135126071962873
2016-09-27 00:00:00-04:00,183.2516479102736,184.6471082252483,182.8835112062276,184.55294799804688,78494800,0.0,0.0,0.0,0.0061888386936219675
2016-09-28 00:00:00-04:00,184.7754965742225,185.62305601942785,183.8166509448692,185.4689483642578,87411000,0.0,0.0,0.0,0.0049510704441155795
2016-09-29 00:00:00-04:00,185.26350574056914,185.66588132423695,183.24307136462014,183.79098510742188,128070600,0.0,0.0,0.0,-0.00908831234769547
2016-09-30 00:00:00-04:00,184.62141895723138,185.87991058216204,184.37315105327025,185.1779022216797,117202900,0.0,0.0,0.0,0.0075178352105620405
2016-10-03 00:00:00-04:00,184.76705531758307,184.95538891509335,184.09927247988253,184.73280334472656,83512100,0.0,0.0,0.0,-0.0024065218176465564
2016-10-04 00:00:00-04:00,184.8440172416814,185.06660270918726,183.2002760132762,183.79098510742188,119948100,0.0,0.0,0.0,-0.005111313392915484
2016-10-05 00:00:00-04:00,184.4159472616854,185.0323518152725,184.34745641536537,184.6042938232422,72816000,0.0,0.0,0.0,0.004415420520762936
2016-10-06 00:00:00-04:00,184.38179247109812,184.95538891509335,183.84244799995938,184.73280334472656,62927400,0.0,0.0,0.0,0.0006958928721525481
2016-10-07 00:00:00-04:00,185.0066914120333,185.1779120165763,183.37150655256386,184.0991973876953,89788300,0.0,0.0,0.0,-0.0034357462424541296
2016-10-10 00:00:00-04:00,185.0580291748047,185.52032604567063,184.91249102910072,185.0580291748047,51855000,0.0,0.0,0.0,0.005194718533442888
2016-10-11 00:00:00-04:00,184.62997321386428,184.69846405905517,181.99313445883374,182.7208251953125,130367400,0.0,0.0,0.0,-0.012710004477511028
2016-10-12 00:00:00-04:00,182.85784372771823,183.48281791726936,182.36129479750986,182.96058654785156,73866100,0.0,0.0,0.0,0.0013113129581991956
2016-10-13 00:00:00-04:00,181.63356111941394,182.8578006442703,180.82025358838365,182.3612518310547,101357000,0.0,0.0,0.0,-0.0032811356537125747
2016-10-14 00:00:00-04:00,183.33725813528716,183.79956814610816,182.37841228068805,182.45545959472656,93346200,0.0,0.0,0.0,0.0005164662846590673
2016-10-17 00:00:00-04:00,182.42978031832754,182.686617766202,181.642155057929,181.8219451904297,58275700,0.0,0.0,0.0,-0.0034782011437259897
2016-10-18 00:00:00-04:00,183.414327058279,183.4742483953358,182.58389335505242,182.96058654785156,76869700,0.0,0.0,0.0,0.006242870512779497
2016-10-19 00:00:00-04:00,183.2259009304939,183.75668852815494,182.86633387434063,183.448486328125,66519200,0.0,0.0,0.0,0.002663144036288756
2016-10-20 00:00:00-04:00,183.097540097914,183.6625798404998,182.44689658612387,183.10610961914062,73639800,0.0,0.0,0.0,-0.0018680808389071046
2016-10-21 00:00:00-04:00,183.10609240583523,183.2773129914425,182.14723361250657,183.1916961669922,89089100,0.0,0.0,0.0,0.0004673058263371388
2016-10-24 00:00:00-04:00,184.06490690817907,184.33887024930587,183.6197230104936,183.97073364257812,60146600,0.0,0.0,0.0,0.004243564054494442
2016-10-25 00:00:00-04:00,183.79093870799545,184.0477760676888,183.1916602442382,183.3543243408203,66542300,0.0,0.0,0.0,-0.003356209259187004
2016-10-26 00:00:00-04:00,182.532511363168,183.56840448294915,182.29278684752947,182.9862518310547,75705500,0.0,0.0,0.0,-0.002009455995651166
2016-10-27 00:00:00-04:00,183.70540264784358,183.73964154554864,182.42122843952794,182.49827575683594,77220200,0.0,0.0,0.0,-0.0026702983428510407
2016-10-28 00:00:00-04:00,182.4725523568128,183.14887820685595,181.24831282341424,181.95887756347656,140623200,0.0,0.0,0.0,-0.0029600109767677907
2016-10-31 00:00:00-04:00,182.2928140484234,182.51541261831122,181.8048346130854,181.96749877929688,61272500,0.0,0.0,0.0,4.737890069161921e-05
2016-11-01 00:00:00-04:00,182.29280454167187,182.34418248355638,179.44194927362747,180.64906311035156,122781800,0.0,0.0,0.0,-0.007271821628384245
2016-11-02 00:00:00-04:00,180.34083850479635,180.72610117322677,179.12515529623803,179.56178283691406,103330800,0.0,0.0,0.0,-0.006036928581049317
2016-11-03 00:00:00-04:00,179.77582014393815,179.98984916370236,178.4659635880447,178.7399139404297,88939300,0.0,0.0,0.0,-0.004587588310604573
2016-11-04 00:00:00-04:00,178.85121684361937,179.69020696041335,178.39747635756683,178.5430145263672,109122100,0.0,0.0,0.0,-0.0011022045460782337
2016-11-07 00:00:00-05:00,178.54298408491587,182.51536157260367,178.54298408491587,182.48110961914062,109794900,0.0,0.0,0.0,0.02181710880093668
2016-11-08 00:00:00-05:00,182.08734096045808,183.8680640704405,181.82194705147958,183.3030242919922,106772100,0.0,0.0,0.0,0.0044939951186222515
2016-11-09 00:00:00-05:00,181.81335015747885,185.8627882300816,181.78766772262458,185.2463836669922,258429000,0.0,0.0,0.0,0.010546088772354523
2016-11-10 00:00:00-05:00,186.03405331261018,186.8987259738683,184.25333004480336,185.70872497558594,172113300,0.0,0.0,0.0,0.0024927088869910463
2016-11-11 00:00:00-05:00,184.98954808289514,185.52033582618566,184.338904621336,185.28062438964844,100552700,0.0,0.0,0.0,-0.0023078871492536734
2016-11-14 00:00:00-05:00,185.80282527315336,186.00829778369007,184.68131557930144,185.42613220214844,94580000,0.0,0.0,0.0,0.0007850292307072237
2016-11-15 00:00:00-05:00,185.81142771850293,186.87301635742188,185.60596822040515,186.87301635742188,91652600,0.0,0.0,0.0,0.007772735690498855
2016-11-16 00:00:00-05:00,186.25657880926144,186.75312761404004,186.13672310212814,186.52197265625,65617700,0.0,0.0,0.0,-0.0018802812834968208
2016-11-17 00:00:00-05:00,186.67611427140054,187.54078681133552,186.56481500049895,187.48086547851562,69797200,0.0,0.0,0.0,0.0051277414263459775
2016-11-18 00:00:00-05:00,187.54933270762592,187.72055328977922,186.88155022962977,187.06134033203125,86265800,0.0,0.0,0.0,-0.002240203188987877
2016-11-21 00:00:00-05:00,187.63493274925955,188.49960516314167,187.48939460414826,188.4739227294922,72402600,0.0,0.0,0.0,0.007523070127779086
2016-11-22 00:00:00-05:00,188.78212188802365,189.0218333070001,188.11435249754751,188.84205627441406,67429000,0.0,0.0,0.0,0.0019513282353162964
2016-11-23 00:00:00-05:00,188.32843477907736,188.99620435852816,188.13153171418705,188.94483947753906,56620200,0.0,0.0,0.0,0.0005441332498126172
2016-11-25 00:00:00-05:00,189.28728337550007,189.6810894836144,189.2102229949598,189.6468505859375,37872300,0.0,0.0,0.0,0.003708543697094946
2016-11-28 00:00:00-05:00,189.33862014822847,189.61257047886514,188.6537247266964,188.75645446777344,76572500,0.0,0.0,0.0,-0.004706078142472592
2016-11-29 00:00:00-05:00,188.79073376013366,189.57835903678915,188.4910878875461,189.12461853027344,69886700,0.0,0.0,0.0,0.0019485716819325205
2016-11-30 00:00:00-05:00,189.74102837676915,189.90369253700135,188.61094877723767,188.67088317871094,113291800,0.0,0.0,0.0,-0.0024020167930487446
2016-12-01 00:00:00-05:00,188.97050173292382,188.97050173292382,187.61783673708024,187.9774169921875,79040500,0.0,0.0,0.0,-0.0036823050564098736
2016-12-02 00:00:00-05:00,188.0630225212601,188.55957142791652,187.71201178431926,188.0715789794922,74840300,0.0,0.0,0.0,0.0005007963870742316
2016-12-05 00:00:00-05:00,188.9019990580523,189.5440860882473,188.70509602651484,189.20164489746094,67837800,0.0,0.0,0.0,0.005990720921425385
2016-12-06 00:00:00-05:00,189.3900322254395,189.83521631989439,188.9106092298559,189.80096435546875,59877400,0.0,0.0,0.0,0.003162616525141715
2016-12-07 00:00:00-05:00,189.6468220127813,192.34358221640227,189.5269662940269,192.28366088867188,110738100,0.0,0.0,0.0,0.01299571514093767
2016-12-08 00:00:00-05:00,192.25801124482192,193.22541361716267,191.9926042635398,192.75454711914062,99714400,0.0,0.0,0.0,0.002445920718686878
2016-12-09 00:00:00-05:00,192.97714906926694,193.9359949996824,192.9428971070115,193.9188690185547,88005800,0.0,0.0,0.0,0.006022267731681907
2016-12-12 00:00:00-05:00,193.8246554596792,194.30409138860358,193.27674174705902,193.6962432861328,102016100,0.0,0.0,0.0,-0.0011486949287284887
2016-12-13 00:00:00-05:00,194.35552648665052,195.48559321207833,194.33840050289155,194.98904418945312,110477500,0.0,0.0,0.0,0.006652197612640798
2016-12-14 00:00:00-05:00,194.68935787987144,195.39136626171157,192.9428737882111,193.37950134277344,142501800,0.0,0.0,0.0,-0.00828878692856616
2016-12-15 00:00:00-05:00,193.6192498901505,195.0318364456315,193.38809485011464,194.17572021484375,124972600,0.0,0.0,0.0,0.00410893698765058
2016-12-16 00:00:00-05:00,194.63122666208193,194.69151431182837,193.47727268966827,193.7958984375,156420200,1.329,0.0,0.0,-0.001957988061122684
2016-12-19 00:00:00-05:00,193.97675592107728,194.63985439307436,193.83035994627357,194.21788024902344,90341100,0.0,0.0,0.0,0.0021750875926027646
2016-12-20 00:00:00-05:00,194.75184200097368,195.11354171763983,194.5193376492084,194.96713256835938,89838800,0.0,0.0,0.0,0.003850370493831079
2016-12-21 00:00:00-05:00,194.8379452358374,195.0101750455565,194.42459106445312,194.42459106445312,67909000,0.0,0.0,0.0,-0.002786612154586088
2016-12-22 00:00:00-05:00,194.27818658290144,194.39874875846775,193.69258948708537,194.08872985839844,56219100,0.0,0.0,0.0,-0.0017289563658842155
2016-12-23 00:00:00-05:00,194.13177206117248,194.38151643666708,193.94232848222345,194.37290954589844,36697800,0.0,0.0,0.0,0.0014631032223944018
2016-12-27 00:00:00-05:00,194.6398577945518,195.25127551528226,194.6226308736002,194.8551483154297,42672500,0.0,0.0,0.0,0.00247792524994761
2016-12-28 00:00:00-05:00,195.1134995195581,195.1307133002148,193.13282409992078,193.24476623535156,64095000,0.0,0.0,0.0,-0.008298849147148069
2016-12-29 00:00:00-05:00,193.31369386357355,193.6667735318223,192.7625505615506,193.20175170898438,48696100,0.0,0.0,0.0,-0.00022261567667225535
2016-12-30 00:00:00-05:00,193.52893622499533,193.61505768273278,191.80661219256285,192.49554443359375,108998300,0.0,0.0,0.0,-0.0036619808935460796
2017-01-03 00:00:00-05:00,193.79594246656237,194.47626798685826,192.79700426633804,193.9681854248047,91366500,0.0,0.0,0.0,0.0076211452989589645
2017-01-04 00:00:00-05:00,194.29534908375123,195.26846626274224,194.28674219501517,195.1220703125,78744400,0.0,0.0,0.0,0.005931211349625265
2017-01-05 00:00:00-05:00,194.85519040871833,195.12214860982965,194.17486485721525,194.96713256835938,78379000,0.0,0.0,0.0,-0.0007943708830895346
2017-01-06 00:00:00-05:00,195.07904528556946,196.12966407630134,194.5365089692909,195.66464233398438,71559900,0.0,0.0,0.0,0.003571191857608902
2017-01-09 00:00:00-05:00,195.40628861430002,195.54407769928036,194.9843144691566,195.01876831054688,46939700,0.0,0.0,0.0,-0.003306383604937402
2017-01-10 00:00:00-05:00,195.03598209095162,195.87131035074572,194.63123486650335,195.01876831054688,63771900,0.0,0.0,0.0,0.0
2017-01-11 00:00:00-05:00,194.9326358857143,195.5699005126953,194.2695374492885,195.5699005126953,74650000,0.0,0.0,0.0,0.002822061221480432
2017-01-12 00:00:00-05:00,195.0532677438237,195.26855832632242,193.7270835373612,195.0791015625,72113200,0.0,0.0,0.0,-0.0025127375512239425
2017-01-13 00:00:00-05:00,195.25129252946203,195.82826959885762,195.21685182484828,195.52687072753906,62717900,0.0,0.0,0.0,0.002292690808350706
2017-01-17 00:00:00-05:00,194.88955823940466,195.29430540595925,194.4503703766765,194.837890625,61240800,0.0,0.0,0.0,-0.0035299334682132866
2017-01-18 00:00:00-05:00,195.0876133518998,195.31152385833252,194.536470254992,195.26846313476562,54793300,0.0,0.0,0.0,0.0022074630698032394
2017-01-19 00:00:00-05:00,195.34596398850047,195.4837530474012,194.11450876783078,194.5450897216797,66608800,0.0,0.0,0.0,-0.0037113858054462767
2017-01-20 00:00:00-05:00,195.2254491108912,195.75075852737518,194.59680444535826,195.25990295410156,129168600,0.0,0.0,0.0,0.0036675468354312457
2017-01-23 00:00:00-05:00,195.2599114531842,195.32018597098931,193.99400203606893,194.75181579589844,75061600,0.0,0.0,0.0,-0.002605498354078861
2017-01-24 00:00:00-05:00,194.9670681283333,196.41382709593856,194.8551260056911,196.00047302246094,95555300,0.0,0.0,0.0,0.0063910641727806805
2017-01-25 00:00:00-05:00,196.94777099923576,197.69699096679688,196.7841480966616,197.69699096679688,84437700,0.0,0.0,0.0,0.00861843725493916
2017-01-26 00:00:00-05:00,197.55053939409,197.81751062740526,197.21468677055776,197.49026489257812,59970700,0.0,0.0,0.0,-0.001046218419293865
2017-01-27 00:00:00-05:00,197.56781818965763,197.71421417781394,196.99944801896262,197.1802978515625,59711100,0.0,0.0,0.0,-0.0015707637407373909
2017-01-30 00:00:00-05:00,196.49135954736528,196.51719335976878,194.97571894509807,195.9574432373047,79737300,0.0,0.0,0.0,-0.0062210183875164304
2017-01-31 00:00:00-05:00,195.4665590486064,196.0004884566942,194.89820208042732,195.94020080566406,75880800,0.0,0.0,0.0,-8.799456650976367e-05
2017-02-01 00:00:00-05:00,195.9401377540197,196.8529671337238,195.43205546007658,196.01763916015625,79117700,0.0,0.0,0.0,0.0003951361478398141
2017-02-02 00:00:00-05:00,196.01768366488298,196.43105087203583,195.32876460020597,196.14686584472656,69657600,0.0,0.0,0.0,0.000659043271883597
2017-02-03 00:00:00-05:00,197.05107611387086,197.6797206338681,196.74105729820448,197.49887084960938,80563200,0.0,0.0,0.0,0.00686917293955247
2017-02-06 00:00:00-05:00,197.09416062482688,197.4903009625108,196.80997556219742,197.1458282470703,57790100,0.0,0.0,0.0,-0.001789167306818662
2017-02-07 00:00:00-05:00,197.53339345823807,197.77451782767443,196.9650232415841,197.15447998046875,57931200,0.0,0.0,0.0,4.388397989618653e-05
2017-02-08 00:00:00-05:00,197.1544447735918,197.54196507382068,196.61190846909716,197.4127960205078,51566200,0.0,0.0,0.0,0.0013093639166568138
2017-02-09 00:00:00-05:00,197.4127730625225,198.88535266019773,197.4127730625225,198.58395385742188,65955200,0.0,0.0,0.0,0.005915004362577747
2017-02-10 00:00:00-05:00,198.9284572962501,199.5915558331859,198.60121147329366,199.36764526367188,66015900,0.0,0.0,0.0,0.003938631839077722
2017-02-13 00:00:00-05:00,199.8584786124461,200.7110337232728,199.8326448036595,200.4526824951172,55182100,0.0,0.0,0.0,0.005427637465182045
2017-02-14 00:00:00-05:00,200.27186151936579,201.26220584645884,199.92740192577156,201.2535858154297,71109000,0.0,0.0,0.0,0.003987512492122924
2017-02-15 00:00:00-05:00,201.03828987887738,202.49365593222012,200.98662225525658,202.30419921875,86785800,0.0,0.0,0.0,0.005206767485744557
2017-02-16 00:00:00-05:00,202.33000632685946,202.51085612595435,201.38273602482136,202.13194274902344,84722400,0.0,0.0,0.0,-0.0008518352455082479
2017-02-17 00:00:00-05:00,201.46886778666237,202.45059204101562,201.4516408656272,202.45059204101562,77204100,0.0,0.0,0.0,0.0015752007587037653
2017-02-21 00:00:00-05:00,202.82087604014896,203.82843399397925,202.81225601044366,203.6562042236328,88946100,0.0,0.0,0.0,0.005937431904619039
2017-02-22 00:00:00-05:00,203.251490149344,203.6992849971404,203.08786724175664,203.4753875732422,62115200,0.0,0.0,0.0,-0.0008882467778095204
