split,model,free params,fitted,n train,n test,train RMSE ($),test RMSE ($),test MSE,test MAE ($),train RMSE (vol pts),test RMSE (vol pts)
interleaved strikes,black_scholes,1,sigma=0.1364,311,306,5.962055852643509,5.956941739563608,35.4851548885551,3.4950534507904254,4.31224362417526,4.1586952368059125
interleaved strikes,esscher,2,"VG(theta=+0.00000, sigma=0.13643, nu=0.00100)",311,306,5.958040830638931,5.952901533572889,35.43703666841445,3.4908160233661567,4.2944623624444445,4.143413411199266
ATM -> wings,black_scholes,1,sigma=0.1428,390,227,5.958949063724088,4.292063494144617,18.421809037768906,2.4279955543467153,3.174868855577645,5.188213639051686
ATM -> wings,esscher,2,"VG(theta=+0.00000, sigma=0.16278, nu=0.17684)",390,227,4.351516413624987,3.7947882985238715,14.4004182306137,2.387759803925836,2.576080459790154,4.7708970019737995
short -> long maturity,black_scholes,1,sigma=0.1203,348,269,1.2283279458871523,11.221967388168093,125.93255206110821,8.83462347507694,3.789804770286719,6.366112187467077
short -> long maturity,esscher,2,"VG(theta=+0.00000, sigma=0.12024, nu=0.00100)",348,269,1.2297569298215032,11.227750835326416,126.06238882017306,8.84111495506162,3.750283621097595,6.368695070652198
