expiry,T,days_to_expiry,cp,strike,price,spread,price_source,quote_age_days,volume,openInterest,spot,quoted_spot,forward,discount,r,q,fwd_method,n_parity_pairs,log_moneyness,std_moneyness,iv,contractSymbol,snapshot_utc
2026-08-24,0.01643835616438356,6,C,742.0,29.21,0.379999999999999,mid,8.430809720266204,3.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03832067720634637,-2.88921136495516,0.16756665316893612,XSP260824C00742000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,743.0,28.23,0.38000000000000256,mid,2.430416201747685,5.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.036973875655967575,-2.787668421840125,0.16508130704585214,XSP260824C00743000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,744.0,27.25,0.38000000000000256,mid,1.8807749980439814,31.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03562888554063491,-2.6862620530004864,0.1623835899305359,XSP260824C00744000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,745.0,26.275,0.370000000000001,mid,1.8807749980439814,31.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03428570199416729,-2.5849918915474857,0.16001360426912908,XSP260824C00745000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,746.0,25.305,0.36999999999999744,mid,15.893911572118057,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03294432016996588,-2.48385757206878,0.15788557457605032,XSP260824C00746000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,747.0,24.33,0.360000000000003,mid,2.430416201747685,5.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03160473524090946,-2.382858730620553,0.15501662182060166,XSP260824C00747000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,748.0,23.36,0.35999999999999943,mid,2.373402312858796,2.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03026694239924956,-2.2819950047196094,0.15237017469689212,XSP260824C00748000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,750.0,21.29,0.7199999999999989,mid,6.356781942488426,8.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.027596713843370632,-2.0806714568832594,0.1356347993926484,XSP260824C00750000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,752.0,19.555,0.3500000000000014,mid,1.1375111091550927,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.024933596423887,-1.8798840576118319,0.14442046794936347,XSP260824C00752000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,753.0,18.549999999999997,0.4800000000000004,mid,6.889987961006944,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.02360469257383317,-1.7796905227785713,0.13829478206893306,XSP260824C00753000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,754.0,17.615000000000002,0.4700000000000024,mid,4.668483331377315,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.02227755236577071,-1.6796299588335275,0.1362949126502631,XSP260824C00754000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,755.0,16.9,0.8000000000000007,mid,1.8658675906365738,5.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.020952171124702115,-1.579702013302346,0.14509337306979853,XSP260824C00755000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,756.0,15.81,0.3000000000000007,mid,1.8658675906365738,5.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.01962854419419374,-1.479906335110308,0.13432972957928127,XSP260824C00756000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,757.0,14.895,0.28999999999999915,mid,1.6392587943402777,2.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.018306666936277995,-1.3802425745749534,0.13192473902852242,XSP260824C00757000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,758.0,13.99,0.28000000000000114,mid,1.7461453684143518,3.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.01698653473135515,-1.2807103833986782,0.12953214432277974,XSP260824C00758000,2026-08-18T08:43:39+00:00
2026-08-24,0.01643835616438356,6,C,759.0,13.105,0.2699999999999996,mid,1.6376615721180554,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.015668142978096804,-1.1813094146614571,0.12750697093673075,XSP260824C00759000,2026-08-18T08:43:39+00:00
