estimator,mu_annual,theta,sigma,nu,annual_vol,annual_skewness,daily_excess_kurtosis
moments,0.24730042873947403,-0.11981889980415017,0.1805469164394729,0.021666383424758382,0.18140629525738466,-0.042796686756327834,16.68797208107831
MLE,0.2285413045263881,-0.10101856012394121,0.16780621755072642,0.00476055693071521,0.1679509063375076,-0.008585161072185276,3.611367032315599
