estimator,mu_annual,theta,sigma,nu,annual_vol,annual_skewness,daily_excess_kurtosis
moments,0.390468884035779,-0.25894032243584175,0.16087783253977783,0.03688246814221359,0.16838838983897728,-0.1652022012364669,6.7135199864745045
MLE,0.33193963381475133,-0.20041132292475267,0.15924688519928723,0.022996720268737315,0.1621210250968592,-0.08428545815186002,3.835203932773937
