model,free params,theta,sigma,nu,RMSE price ($),RMSE IV (bp),max |IV err| (bp),at bound
Black-Scholes (one flat vol),1,,0.1358966979190098,,6.002715305069183,425.5557931044358,1291.804694682143,
VG / Esscher,2,,0.13593545993139605,0.0010000000000001913,5.999902827337388,423.9446699390993,1289.9321280034428,nu
