estimator,mu_annual,theta,sigma,nu,annual_vol,annual_skewness,daily_excess_kurtosis
moments,0.24337679886489097,-0.11994698322551739,0.17348674246760298,0.5049159649875571,0.19329256727366542,-0.8790510512445794,24.558183275219033
MLE,0.2075863712825251,-0.083900498113824,0.17893305466222684,0.166666666667,0.1821819245920108,-0.22755254455299553,6.416681384361114
