expiry,T,days_to_expiry,cp,strike,price,spread,price_source,quote_age_days,volume,openInterest,spot,quoted_spot,forward,discount,r,q,fwd_method,n_parity_pairs,log_moneyness,std_moneyness,iv,contractSymbol,snapshot_utc,model_price,price_error,model_iv,iv_error
2026-08-24,0.01643835616438356,6,C,742.0,29.21,0.379999999999999,mid,8.430809720266204,3.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03832067720634637,-2.88921136495516,0.16756665316893612,XSP260824C00742000,2026-08-18T08:43:39+00:00,29.04470903939489,-0.1652909606051125,0.13912126125239543,-0.02844539191654069
2026-08-24,0.01643835616438356,6,C,743.0,28.23,0.38000000000000256,mid,2.430416201747685,5.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.036973875655967575,-2.787668421840125,0.16508130704585214,XSP260824C00743000,2026-08-18T08:43:39+00:00,28.061879411399673,-0.16812058860032764,0.13884819353734396,-0.026233113508508182
2026-08-24,0.01643835616438356,6,C,744.0,27.25,0.38000000000000256,mid,1.8807749980439814,31.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03562888554063491,-2.6862620530004864,0.1623835899305359,XSP260824C00744000,2026-08-18T08:43:39+00:00,27.082267279968846,-0.1677327200311538,0.13858198213538792,-0.023801607795147978
2026-08-24,0.01643835616438356,6,C,745.0,26.275,0.370000000000001,mid,1.8807749980439814,31.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03428570199416729,-2.5849918915474857,0.16001360426912908,XSP260824C00745000,2026-08-18T08:43:39+00:00,26.10640465064853,-0.16859534935147025,0.13832288840464121,-0.02169071586448787
2026-08-24,0.01643835616438356,6,C,746.0,25.305,0.36999999999999744,mid,15.893911572118057,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03294432016996588,-2.48385757206878,0.15788557457605032,XSP260824C00746000,2026-08-18T08:43:39+00:00,25.134890827855315,-0.17010917214468435,0.13807117799996824,-0.019814396576082083
2026-08-24,0.01643835616438356,6,C,747.0,24.33,0.360000000000003,mid,2.430416201747685,5.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03160473524090946,-2.382858730620553,0.15501662182060166,XSP260824C00747000,2026-08-18T08:43:39+00:00,24.168396630789516,-0.16160336921048213,0.13782712024353094,-0.01718950157707072
2026-08-24,0.01643835616438356,6,C,748.0,23.36,0.35999999999999943,mid,2.373402312858796,2.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.03026694239924956,-2.2819950047196094,0.15237017469689212,XSP260824C00748000,2026-08-18T08:43:39+00:00,23.20766798721695,-0.15233201278304875,0.1375909873873942,-0.014779187309497926
2026-08-24,0.01643835616438356,6,C,750.0,21.29,0.7199999999999989,mid,6.356781942488426,8.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.027596713843370632,-2.0806714568832594,0.1356347993926484,XSP260824C00750000,2026-08-18T08:43:39+00:00,21.306882135073693,0.016882135073693405,0.13714359483959185,0.0015087954469434617
2026-08-24,0.01643835616438356,6,C,752.0,19.555,0.3500000000000014,mid,1.1375111091550927,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.024933596423887,-1.8798840576118319,0.14442046794936347,XSP260824C00752000,2026-08-18T08:43:39+00:00,19.440079710989494,-0.11492028901050588,0.1367312020537578,-0.007689265895605674
2026-08-24,0.01643835616438356,6,C,753.0,18.549999999999997,0.4800000000000004,mid,6.889987961006944,1.0,0.0,770.3342101802784,778.5800170898438,770.985772722086,0.9994034163914924,0.03630299948180265,-0.015129180849365924,parity (robust forward),44,-0.02360469257383317,-1.7796905227785713,0.13829478206893306,XSP260824C00753000,2026-08-18T08:43:39+00:00,18.52212467952961,-0.0278753204703861,0.13653881465722614,-0.0017559674117069157
